,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom
991,2,39000,750,1 out of 3,2,"Takshila CHS, Andheri East",2,2,Family,2
992,3,70000,1100,18 out of 22,2,Chandivali,2,2,Bachelors/Family,2
993,4,1200000,5000,4 out of 15,2,Juhu,2,2,Bachelors/Family,4
994,1,25000,596,1 out of 7,1,Kandivali West,2,2,Bachelors/Family,1
995,2,45000,680,3 out of 4,2,"DLH Orchid, Lokhandwala Complex",2,1,Bachelors,2
996,4,190000,1950,11 out of 21,2,"Godrej Serenity Mumbai, Chembur",2,1,Bachelors/Family,4
997,3,140000,1350,18 out of 32,2,"Transcon Triumph, Lokhandwala Complex",2,2,Bachelors/Family,3
998,1,35000,510,3 out of 4,2,Chakala Cigarette Factory,2,2,Bachelors/Family,1
999,1,60000,500,5 out of 7,2,"Green Gate Apartment, Pali Hill",2,2,Bachelors/Family,1
1000,1,15000,375,13 out of 16,1,Kanjurmarg East,2,1,Bachelors/Family,1
1001,1,39000,500,2 out of 7,2,Model Town,2,2,Family,1
1002,3,190000,1500,8 out of 10,2,Bandra West,2,2,Bachelors/Family,3
1003,3,84000,1000,18 out of 21,2,"Lake Primrose, Powai",2,2,Bachelors/Family,3
1004,3,68000,1260,27 out of 58,2,"Alta Monte, Pathanwadi",2,1,Family,3
1005,1,26000,475,8 out of 20,2,"Dreams Complex, Bhandup West",2,1,Bachelors/Family,2
1006,2,42000,620,6 out of 11,2,"NG Royal Park, Kanjurmarg East",2,2,Family,2
1007,1,35000,490,1 out of 6,2,Mukund Nagar,2,2,Bachelors/Family,1
1008,2,44000,710,13 out of 18,2,"Ajmera Bhakti Park, Bhakti Park",2,2,Bachelors/Family,2
1009,2,60000,720,4 out of 7,2,Sindhi Society Chembur,2,1,Bachelors/Family,2
1010,2,45000,770,2 out of 12,2,Goregaon West,2,2,Bachelors,2
1011,3,250000,1600,19 out of 25,1,"Chaitanya Towers, Prabhadevi",2,2,Bachelors/Family,3
1012,1,65000,500,Ground out of 5,2,Bandra West,2,2,Bachelors/Family,1
1013,1,20000,350,1 out of 8,1,Parel,2,1,Bachelors/Family,1
1014,2,75000,1000,3 out of 15,1,"7 Bungalow, Seven Bungalows",2,2,Bachelors/Family,2
1015,3,140000,1000,3 out of 7,2,Juhu,2,2,Family,3
1016,2,45000,660,25 out of 43,2,"Wadhwa Atmoshphere, Mulund West",2,2,Bachelors,2
1017,1,9400,600,4 out of 6,1,Bhayandar East,2,2,Bachelors/Family,1
1018,2,100000,900,2 out of 12,2,Santacruz West,2,2,Bachelors/Family,2
1019,2,65000,750,2 out of 3,2,"Ganpat Niketan Apartment, Khar West",2,2,Bachelors/Family,2
1020,2,230000,1000,2 out of 7,2,Bandra West,2,2,Bachelors/Family,2
1021,3,180000,1500,7 out of 12,2,Bandra West,2,2,Bachelors,3
1022,2,180000,1200,7 out of 12,2,Khar West,2,2,Bachelors/Family,3
1023,3,120000,1200,10 out of 14,2,Khar West,2,2,Bachelors/Family,3
1024,1,20000,280,11 out of 24,2,Century Bazaar,2,2,Bachelors/Family,1
1025,2,130000,1000,10 out of 12,2,Khar West,2,2,Bachelors,2
1026,3,400000,1800,7 out of 14,2,Pali Hill,2,2,Bachelors,4
1027,2,75000,694,1 out of 7,2,Bandra West,2,2,Bachelors/Family,2
1028,3,100000,1740,21 out of 22,1,Powai,2,2,Bachelors/Family,4
1029,2,55000,750,8 out of 14,2,Chembur,2,2,Bachelors/Family,2
1030,3,70000,1000,12 out of 20,2,"Nahar Amrit Shakti powai, Chandivali",2,2,Bachelors/Family,3
1031,1,30000,500,3 out of 4,1,Sion,2,2,Bachelors/Family,1
1032,4,330000,2000,11 out of 12,2,Mehboob Studio,2,2,Bachelors,5
1033,1,75000,550,7 out of 10,2,Bandra West,2,2,Bachelors/Family,2
1034,1,14000,270,6 out of 7,2,Poisar,2,1,Bachelors,1
1035,3,130000,960,9 out of 21,2,7 Bungalows Andheri West,2,2,Family,3
1036,3,40000,1200,2 out of 4,1,Kandivali West,2,2,Family,2
1037,2,46000,710,15 out of 18,2,"Ajmera Bhakti Park, Bhakti Park",2,1,Bachelors/Family,2
1038,1,27000,472,13 out of 14,2,"Marathon Embryo, Bhandup West",2,2,Bachelors,2
1039,2,95000,1000,10 out of 13,2,Bandra West,2,2,Bachelors/Family,2
1040,2,94000,800,14 out of 18,2,"Kanakia Hollywood, Sai Nagar",2,2,Family,2
1041,2,40000,650,7 out of 11,2,"Gaurav Heights, Kandivali West",2,1,Bachelors,2
1042,3,150000,1300,6 out of 7,2,Seven Bungalows,2,2,Bachelors/Family,3
1043,2,30000,600,2 out of 5,2,"Gokul Apartment, Evershine Nagar",2,1,Bachelors/Family,2
1044,2,95000,750,7 out of 10,2,Opera House,2,2,Bachelors,2
1045,2,130000,890,45 out of 77,2,"Lodha The Park, Worli",2,2,Family,2
1046,1,14000,421,3 out of 4,2,Borivali East,2,1,Bachelors/Family,1
1047,3,100000,1300,12 out of 24,2,"L&T Emerald Isle, Powai",2,2,Family,3
1048,1,35000,350,2 out of 3,1,Dadar West,2,1,Bachelors/Family,1
1049,2,57000,800,5 out of 20,2,"Nahar Amrit Shakti powai, Chandivali",2,2,Bachelors/Family,2
1050,2,45000,650,5 out of 6,2,Santacruz East,2,2,Bachelors/Family,2
1051,1,11000,650,18 out of 19,1,Mira Road,2,2,Bachelors/Family,2
1052,2,50000,650,10 out of 20,2,"Sheth Montana, Mulund West",2,2,Bachelors/Family,2
1053,2,35000,680,12 out of 20,2,"Parinee Adney, Borivali West",2,1,Bachelors/Family,2
1054,2,100000,800,1 out of 5,2,Bandra West,2,2,Bachelors/Family,2
1055,3,130000,1250,12 out of 29,2,"Adani Western Heights, 4 Bunglows",2,2,Family,3
1056,1,52000,475,10 out of 18,2,Shivaji Park,2,1,Bachelors/Family,1
1057,2,28000,600,1 out of 5,2,"Gokul Apartment, Evershine Nagar",2,1,Bachelors/Family,2
1058,1,18000,450,2 out of 4,1,"Nem Vihar, Mulund West",2,1,Bachelors/Family,1
1059,1,30000,400,3 out of 6,1,Bhatti Pada,2,1,Bachelors,1
1060,3,45000,985,Lower Basement out of 18,2,"Gemstar Symphony Apartment, Kandivali West",2,1,Family,3
1061,3,130000,1450,3 out of 7,2,Shivaji Park,2,1,Bachelors,3
1062,2,58000,650,15 out of 24,2,"L&T Emerald Isle, Powai",2,2,Family,2
1063,2,65000,805,48 out of 68,2,"Auris Serenity, Kanch Pada",2,2,Bachelors/Family,3
1064,1,24000,650,3 out of 4,1,Malad East,2,2,Bachelors/Family,1
1065,1,54500,515,12 out of 42,2,"Lodha New Cuffe Parade, Wadala East",2,1,Bachelors/Family,1
1066,3,70000,1000,15 out of 20,2,Chandivali,2,2,Bachelors/Family,2
1067,3,67000,1050,6 out of 8,2,Chembur,2,2,Family,3
1068,2,75000,777,17 out of 22,2,"Hiranandani Castle Rock, Powai",2,2,Bachelors/Family,2
1069,2,45000,831,16 out of 22,2,"Kaustubh Platinum, Datta Pada",2,1,Family,2
1070,3,98000,1233,35 out of 68,2,"Auris Serenity, Kanch Pada",2,2,Bachelors/Family,4
1071,1,16000,250,4 out of 10,2,Charkop,2,1,Bachelors/Family,1
1072,2,95000,900,18 out of 30,2,"Oberoi Springs, Andheri West",2,2,Bachelors,2
1073,2,40000,753,11 out of 31,2,"Omkar Ananta, Film City Road",2,1,Bachelors/Family,2
1074,3,300000,1800,8 out of 12,2,Bandra West,2,2,Bachelors,3
1075,2,80000,670,5 out of 17,2,Matunga East,2,1,Bachelors,2
1076,4,380000,2800,50 out of 75,2,"Omkar 1973, Worli",2,2,Bachelors/Family,4
1077,3,160000,1197,18 out of 26,2,"Aristo Pearl Residency, Prabhadevi",2,2,Bachelors/Family,3
1078,2,44000,880,12 out of 27,2,orchid suburbia,2,1,Bachelors,2
1079,2,200000,1000,7 out of 8,2,Union Park,2,2,Bachelors/Family,2
1080,2,65000,935,2 out of 7,1,Andheri West,2,2,Bachelors/Family,2
1081,2,50000,751,16 out of 20,2,"Raj Legacy, Vikhroli West",2,2,Bachelors/Family,2
1082,1,6000,200,Ground out of 5,1,"Sonal Apartment, Bhandari Compound",2,1,Bachelors/Family,1
1083,4,280000,2500,24 out of 55,2,"Island City Centre, Dadar East",2,2,Bachelors/Family,6
1084,1,46000,500,6 out of 8,2,"Sundar Nagar, Kalina",2,2,Family,1
1085,1,35000,430,15 out of 23,2,"Conwood Astoria, Film City Road",2,2,Bachelors/Family,1
1086,3,75000,1088,16 out of 37,2,"Sunteck City Avenue 1, Goregaon West",2,2,Bachelors/Family,3
1087,1,20000,330,4 out of 8,2,Andheri West,2,2,Bachelors/Family,1
1088,1,25000,400,Upper Basement out of 7,2,shanti kutir tunga village powai,2,1,Bachelors/Family,1
1089,3,110000,1200,6 out of 15,2,"Salvation CHS, Dadar West",2,2,Bachelors/Family,3
1090,2,29500,700,2 out of 7,2,Borivali West,2,1,Bachelors/Family,2
1091,3,53000,1000,16 out of 32,2,"Mahindra Splendour, Bhandup West",2,2,Bachelors/Family,2
1092,2,85000,750,11 out of 27,2,"Hiranandani Atlantis, Hiranandani Gardens",2,2,Bachelors/Family,2
1093,1,26000,450,6 out of 10,2,Goregaon West,2,1,Bachelors,2
1094,1,33000,640,11 out of 23,1,Bhandup West,2,2,Bachelors/Family,2
1095,3,180000,1190,5 out of 12,2,"L Nagpal Ruby, Turner Road",2,2,Bachelors/Family,3
1096,3,70000,850,5 out of 8,1,Chembur,2,1,Bachelors,3
1097,1,17000,330,Ground out of 7,2,Jankalyan Nagar,2,2,Bachelors/Family,1
1098,2,37000,685,10 out of 18,2,Mulund West,2,2,Bachelors,2
1099,1,27000,400,6 out of 10,2,Goregaon West,2,1,Bachelors,2
1100,1,35500,500,8 out of 13,2,"Mayfair Sonata Greens, Park Site Colony",2,2,Bachelors/Family,2
1101,1,24000,550,2 out of 4,2,Mulund West,2,1,Bachelors,1
1102,4,250000,2500,2 out of 8,2,Juhu,2,1,Bachelors/Family,4
1103,3,180000,1100,6 out of 15,2,JVPD Scheme,2,2,Family,3
1104,2,18500,650,3 out of 12,2,"Swayam Apartment, Poonam Gardens",2,1,Family,2
1105,3,200000,1400,8 out of 17,2,"Hill Road, Bandra West",2,2,Bachelors/Family,3
1106,2,70000,1050,14 out of 15,2,"Godrej Prime, Chembur",2,2,Bachelors/Family,2
1107,3,55000,850,6 out of 7,2,Goregaon West,2,1,Bachelors,3
1108,1,24000,550,Ground out of 4,2,Ghatkopar West,2,1,Bachelors,1
1109,2,55000,750,5 out of 8,2,Chandivali,2,2,Bachelors/Family,2
1110,3,150000,1350,23 out of 25,2,"Kalpataru Antariksha, Prabhadevi",2,2,Bachelors/Family,3
1111,2,50000,800,5 out of 8,2,Santacruz East,2,2,Bachelors/Family,2
1112,4,300000,2650,14 out of 48,2,"Lodha Bellissimo, Mahalakshmi",2,2,Bachelors/Family,3
1113,3,90100,975,29 out of 35,2,Goregaon East,2,2,Bachelors/Family,2
1114,3,57000,1325,15 out of 36,2,"Raheja Exotica Sorento, Madh",2,2,Bachelors/Family,4
1115,2,40000,700,3 out of 6,1,Andheri West,2,2,Bachelors/Family,2
1116,2,80000,700,3 out of 8,2,Hindu Colony,2,2,Family,2
1117,2,95000,850,15 out of 25,2,Powai,2,2,Bachelors/Family,2
1118,1,14000,305,10 out of 24,2,Ekta Nagar,2,1,Bachelors,1
1119,2,50000,850,8 out of 10,2,"Dsk Madhuban, Sakinaka Junction",2,1,Bachelors/Family,2
1120,2,43000,724,6 out of 11,2,"Akruti Orchid Park, Sakinaka Junction",2,1,Bachelors/Family,2
1121,2,55000,650,8 out of 16,2,Andheri West,2,2,Bachelors,2
1122,2,35000,650,5 out of 7,2,Nahur Gaothan,2,1,Family,2
1123,2,33000,700,15 out of 28,2,"Acme Avenue, Kandivali West",2,1,Bachelors,2
1124,2,47000,785,4 out of 7,2,JB Nagar,2,2,Bachelors/Family,2
1125,3,75000,1250,15 out of 20,2,"Laksharia Tower, Andheri West",2,2,Family,3
1126,4,45000,1016,3 out of 36,2,"Oasis, Lokhandwala Twp",2,1,Bachelors/Family,3
1127,1,36000,380,12 out of 20,2,Mazgaon,2,1,Bachelors/Family,2
1128,1,40000,475,18 out of 23,2,"Sanghvi Evana, Worli",2,1,Bachelors,1
1129,1,40000,444,8 out of 11,2,Sakinaka Junction,2,1,Bachelors,2
1130,2,32000,640,6 out of 20,2,"GSA Grandeur, Gokuldham",2,1,Bachelors/Family,2
1131,1,17000,320,23 out of 23,2,"Midas PMGP Mhada Colony, PMGP Colony",2,1,Bachelors/Family,1
1132,3,77000,1100,16 out of 21,2,"Auris Serenity, Adarsh Nagar",2,1,Bachelors/Family,4
1133,4,290000,1500,5 out of 15,2,"Benchmark Solus, Waterfield Road",2,2,Bachelors/Family,3
1134,2,35000,650,6 out of 8,2,"Evershine Millenium Paradise, Thakur Village, Kandivali East",2,2,Bachelors/Family,2
1135,1,40000,508,16 out of 18,2,"Kanakia Sevens, Marol Maroshi Road",2,2,Bachelors/Family,2
1136,4,250000,2500,2 out of 10,2,JVPD Scheme,2,2,Bachelors/Family,4
1137,2,47000,720,Upper Basement out of 16,2,Chembur,2,1,Bachelors,2
1138,2,50000,750,Ground out of 5,1,D.N. Nagar,2,1,Bachelors/Family,2
1139,1,32000,430,2 out of 3,2,"Sion East, Sion Koliwada",2,1,Family,1
1140,2,8000,623,6 out of 7,2,"Shreenath nagar, Morya Nagar",2,1,Family,2
1141,3,240000,1358,40 out of 50,2,"Lodha Kiara, Worli Hill",2,2,Family,4
1142,3,85000,1000,4 out of 11,2,"Lodha Eternis, Chakala MIDC",2,2,Bachelors/Family,3
1143,3,65000,1100,25 out of 28,2,"Sejal Tower, Goregaon West",2,1,Bachelors,3
1144,3,75000,1255,12 out of 17,2,Bhakti Park,2,2,Bachelors/Family,3
1145,1,26500,450,5 out of 8,2,"Vasant Sagar, Thakur Village, Kandivali East",2,2,Family,2
1146,2,45000,650,3 out of 7,2,"Akruti Aneri, Marol",2,2,Bachelors/Family,2
1147,2,95000,955,34 out of 40,2,"Lodha New Cuffe Parade, Bhakti Park",2,2,Bachelors,2
1148,2,38000,700,Upper Basement out of 22,2,"Altavista, Chembur",2,1,Bachelors/Family,2
1149,3,260000,1915,8 out of 23,1,"Ashford Casa Grande, Lower Parel",2,2,Family,4
1150,4,300000,2308,9 out of 31,2,"Windsor Grande Residences, Andheri West",2,2,Bachelors/Family,6
1151,3,180000,1250,11 out of 13,2,"Ekta Trinity, Santacruz West",2,2,Family,3
1152,2,40000,625,6 out of 14,2,"Kailash Tower, Powai",2,2,Bachelors,2
1153,4,300000,2200,7 out of 8,2,JVPD Scheme,2,2,Family,4
1154,2,85000,870,5 out of 21,2,"Royal Residency, Lal Baug",2,2,Bachelors/Family,2
1155,3,110000,1300,4 out of 12,2,Kalina,2,2,Bachelors/Family,3
1156,2,40000,750,2 out of 8,2,"Techno Park I, Kandivali East",2,1,Family,2
1157,2,45000,750,2 out of 8,1,Andheri East,2,2,Bachelors,2
1158,2,52000,550,3 out of 9,2,Kalina,2,2,Bachelors/Family,2
1159,4,90000,1250,2 out of 7,2,Andheri West,2,2,Family,4
1160,3,140000,1400,11 out of 13,2,"Insignia, Bandra Kurla Complex",2,2,Family,3
1161,3,150000,1330,32 out of 59,2,"Oberoi Esquire, Goregaon East",2,2,Family,4
1162,3,65000,1000,5 out of 10,2,Chembur,2,2,Bachelors/Family,3
1163,2,50000,770,4 out of 14,2,"Sufalam CHS, Chembur East",2,1,Bachelors/Family,2
1164,2,54000,800,3 out of 7,2,"Shimpla Vighnaharta CHS, Seven Bungalows",2,1,Family,2
1165,4,180000,1691,20 out of 32,2,"Oberoi Prisma, Agarkar Chowk",2,2,Bachelors/Family,6
1166,1,60000,550,12 out of 20,2,"Neumec Elegance, Lower Parel",2,2,Bachelors,2
1167,2,65000,800,10 out of 14,2,Andheri West,2,1,Family,2
1168,2,35000,615,6 out of 14,2,"Aspire, Thakur Village, Kandivali East",2,1,Family,2
1169,2,43000,663,25 out of 43,2,"Wadhwa Atmosphere, Mulund West",2,1,Bachelors/Family,2
1170,1,20000,400,3 out of 4,2,Bhandup,2,2,Bachelors/Family,1
1171,2,57000,625,9 out of 18,2,"Panch Complex, Powai",2,2,Bachelors,2
1172,4,130000,1432,12 out of 20,2,"Sabari Ashville, Chembur East",2,1,Bachelors/Family,3
1173,1,25000,425,3 out of 5,2,Mulund West,2,1,Bachelors,1
1174,2,56000,649,5 out of 22,2,"Promenade At The Address, Ghatkopar West",2,2,Bachelors,2
1175,2,55000,905,10 out of 37,2,"Sunteck City Avenue 1, Goregaon West",2,1,Bachelors,2
1176,2,18000,882,10 out of 22,1,"DB Ozone, Mira Road",2,1,Bachelors,2
1177,3,100000,1200,4 out of 15,2,"Salvation CHS, Dadar West",2,2,Bachelors/Family,3
1178,2,76000,736,16 out of 36,2,"Rustomjee Elanza, Mindspace",2,1,Family,2
1179,3,270000,1710,25 out of 48,2,"Lodha Bellissimo, Mahalakshmi",2,2,Bachelors/Family,3
1180,1,45000,225,3 out of 6,2,"simla house at nepeasea road, Napean Sea Road",2,1,Bachelors,1
1181,2,39000,720,Upper Basement out of 22,2,"Altavista, Chembur",2,1,Bachelors/Family,2
1182,1,12500,555,6 out of 7,1,"Hubtown Gardenia, Mira Road",2,1,Bachelors,1
1183,1,35000,415,2 out of 7,1,Andheri East,2,1,Bachelors/Family,1
1184,2,55000,649,4 out of 22,2,"Promenade At The Address, Ghatkopar West",2,2,Bachelors,2
1185,3,90000,1000,3 out of 3,2,Vile Parle West,2,2,Bachelors,2
1186,2,250000,1300,Upper Basement out of 10,2,Khar West,2,2,Bachelors/Family,2
1187,2,25000,1065,15 out of 15,1,"Gaurav Excellency, Mira Road",2,2,Bachelors/Family,2
1188,2,90000,854,15 out of 20,2,"Kanakia Paris, Bandra Kurla Complex",2,2,Bachelors/Family,2
1189,3,120000,1200,5 out of 14,2,"Salvation CHS, Dadar West",2,2,Bachelors/Family,3
1190,1,55000,500,8 out of 18,2,Hiranandani Gardens,2,1,Bachelors,1
1191,3,70000,906,7 out of 10,2,"Sanjona Gulmarg Towers, Chembur East",2,2,Bachelors/Family,3
1192,3,300000,1800,11 out of 11,2,Bandra West,2,2,Bachelors/Family,4
1193,2,25000,500,1 out of 3,2,New Devchhaya Building,2,2,Bachelors/Family,1
1194,1,35000,450,2 out of 7,1,Goregaon West,2,1,Bachelors/Family,1
1195,3,120000,1130,3 out of 7,2,Bandra West,2,2,Bachelors/Family,3
1196,1,27000,495,5 out of 7,1,Andheri East,2,2,Bachelors/Family,2
1197,1,25000,407,5 out of 23,1,Devi Pada,2,1,Bachelors/Family,2
1198,3,150000,1092,60 out of 77,2,"Lodha The Park, Worli",2,2,Family,3
1199,2,32000,610,11 out of 18,2,"The Windsor, Kandivali East",2,1,Family,2
1200,1,40000,500,13 out of 14,1,"Manavsthal, Andheri East",2,2,Bachelors/Family,2
1201,2,52000,750,4 out of 20,2,"vanamali chs ghatla, Ghatla",2,1,Bachelors/Family,2
1202,2,80000,750,6 out of 16,2,"lokhandwala residency, Worli",2,2,Bachelors,2
1203,2,55000,850,6 out of 10,2,"Adityavardhan Apartment, Raheja Vihar",2,2,Bachelors/Family,2
1204,1,30000,350,5 out of 16,2,Prabhadevi,2,1,Bachelors/Family,1
1205,1,20000,300,2 out of 12,2,"Sundar Nagar, Kalina",2,2,Bachelors/Family,1
1206,1,85000,695,2 out of 7,2,Union Park,2,2,Bachelors/Family,2
1207,1,40000,415,15 out of 22,2,"Kanakia Rainforest, Andheri East",2,2,Bachelors/Family,2
1208,1,21000,450,3 out of 13,2,Bhandup Village,2,1,Bachelors,2
1209,3,43000,850,8 out of 14,2,"Aspire, Kandivali East",2,1,Family,3
1210,2,58000,805,30 out of 58,2,"Auris Serenity, Link Road",2,2,Bachelors/Family,3
1211,2,130000,700,7 out of 10,2,Bandra West,2,2,Bachelors/Family,2
1212,3,260000,1800,10 out of 11,2,JVPD Scheme,2,2,Family,4
1213,2,46000,669,15 out of 43,2,"Tulip at Runwal Forests, Kanjurmarg West",2,1,Bachelors,2
1214,1,6500,325,7 out of 16,2,"Unicorn Global Arena, Naigaon East",2,1,Family,1
1215,1,21000,600,5 out of 6,1,Sher E Punjab Society,2,2,Bachelors/Family,1
1216,2,46000,725,Upper Basement out of 16,2,Chembur,2,1,Bachelors/Family,2
1217,2,60000,750,5 out of 9,2,"Green Woods Chkala, Andheri East",2,2,Bachelors/Family,2
1218,3,65000,1050,13 out of 21,2,"Hillcrest, Andheri East",2,2,Bachelors,3
1219,2,15000,600,18 out of 28,2,Shilphata,2,1,Bachelors/Family,2
1220,2,130000,1000,10 out of 13,2,Bandra West,2,2,Bachelors/Family,2
1221,3,90000,1110,9 out of 55,2,"Omkar Alta Monte, Kurar Village",2,2,Bachelors/Family,3
1222,2,62000,650,11 out of 25,2,Jacob Circle,2,1,Family,2
1223,3,160000,1100,8 out of 10,2,Santacruz West,2,2,Bachelors/Family,3
1224,3,80000,1100,15 out of 28,2,"Godrej Central, Chembur",2,1,Bachelors/Family,3
1225,3,80000,1110,49 out of 55,2,"Omkar Alta Monte, Kurar Village",2,2,Bachelors/Family,3
1226,3,55000,999,14 out of 23,2,"Orchid Residency, Link Road",2,2,Family,2
1227,3,100000,1000,2 out of 4,2,Santacruz West,2,2,Bachelors/Family,3
1228,4,200000,2200,11 out of 20,2,Seven Bungalows,2,2,Bachelors/Family,5
1229,3,100000,1256,10 out of 22,2,"Satyam Springs, Deonar",2,2,Family,3
1230,2,79500,750,17 out of 20,2,"Hiranandani Castle Rock, Hiranandani Gardens",2,2,Family,2
1231,3,84500,889,7 out of 27,2,"Oberoi Splendor, JVLR-Jogeshwari Vikhroli Link Road",2,2,Bachelors/Family,2
1232,2,100000,750,14 out of 27,2,"Hiranandani Atlantis, Hiranandani Gardens",2,2,Bachelors/Family,2
1233,1,13000,385,6 out of 20,2,"Aims Sea View, Indralok",2,1,Family,1
1234,4,100000,1454,5 out of 7,2,"diamond garden, Chembur East",2,1,Bachelors/Family,4
1235,1,35000,480,1 out of 7,2,Seven Bungalows,2,2,Family,2
1236,2,72000,660,12 out of 22,2,"Hiranandani Castle Rock, Hiranandani Gardens",2,2,Bachelors/Family,2
1237,3,180000,1600,9 out of 16,2,Bandra West,2,2,Bachelors/Family,3
1238,1,26000,434,5 out of 22,2,"Samarth Srishti, Bhandup West",2,2,Bachelors/Family,2
1239,3,72000,1121,7 out of 14,2,"Hari Kunj II, Sindhi Society Chembur",2,1,Bachelors/Family,3
1240,1,8000,620,6 out of 8,1,Virar,2,2,Bachelors/Family,2
1241,3,130000,937,16 out of 27,2,"Runwal Elegante, Andheri West",2,2,Family,2
1242,1,52000,470,6 out of 7,2,"Godrej The Trees, Vikhroli East",2,2,Bachelors/Family,2
1243,1,13000,410,2 out of 7,2,Mira Road East,2,1,Family,1
1244,3,45000,850,5 out of 7,2,Mulund West,2,1,Family,3
1245,3,180000,1500,15 out of 20,2,"Purushottam Towers, Dadar West",2,2,Bachelors/Family,4
1246,2,63000,888,12 out of 20,2,"Shapoorji Pallonji Vicinia, Chandivali",2,2,Bachelors/Family,2
1247,1,7500,380,3 out of 7,2,sunanda circal,2,1,Bachelors,2
1248,1,30000,360,4 out of 20,2,"Antop Hill, Wadala",2,1,Bachelors/Family,1
1249,1,28500,565,1 out of 8,1,Kandivali East,2,2,Bachelors/Family,2
1250,3,100000,2000,25 out of 50,1,"Auris Serenity, Malad West",2,2,Bachelors/Family,4
1251,4,270000,1358,25 out of 50,2,"Lodha Kiara, Worli Hill",2,2,Family,4
1252,2,38000,661,17 out of 36,2,"Runwal Forests, Kanjurmarg West",2,2,Bachelors/Family,2
1253,1,26000,450,9 out of 20,2,"Ratan Silicon Park, Jankalyan Nagar",2,1,Family,2
1254,3,70000,1300,6 out of 30,2,Goregaon West,2,1,Bachelors,3
1255,2,41000,600,4 out of 8,2,"Vasant Oscar, Mulund West",2,2,Family,2
1256,2,27000,900,Ground out of 4,1,Mahatama Gandhi Road,2,2,Bachelors/Family,3
1257,1,53000,379,21 out of 23,2,"Hiranandani Regent Hill, Powai",2,2,Bachelors,1
1258,2,65000,805,8 out of 58,2,"Auris Serenity, Kanch Pada",2,2,Family,3
1259,1,85000,650,3 out of 8,1,Malabar Hill,2,2,Bachelors/Family,2
1260,1,6000,500,8 out of 10,1,Naigaon East,2,2,Bachelors/Family,2
1261,1,43000,480,5 out of 7,2,Seven Bungalows,2,2,Family,2
1262,2,65000,550,1 out of 7,1,"Dr Babasaheb Ambedkar Road, Mumbai",2,2,Bachelors/Family,2
1263,3,280000,1600,5 out of 12,2,Bandra West,2,2,Bachelors/Family,3
1264,3,98000,1400,4 out of 15,2,"Hubtown Sunmist, Chakala",2,2,Family,2
1265,3,330000,1500,20 out of 41,2,"Indiabulls Blu, Worli",2,2,Bachelors/Family,2
1266,3,65000,1050,3 out of 62,2,"Alpine, Kandivali East",2,1,Bachelors,3
1267,3,85000,920,4 out of 13,2,Ghatkopar East,2,1,Family,3
1268,1,40000,450,8 out of 13,2,"Ajmera Bhakti Park, Bhakti Park",2,2,Bachelors/Family,1
1269,1,23000,440,Ground out of 4,2,in Kandivali West,2,2,Bachelors,1
1270,3,55000,932,3 out of 8,1,Ghatkopar West,2,1,Bachelors/Family,3
1271,1,15000,270,15 out of 15,2,chakala andheri east,2,1,Bachelors,2
1272,1,52000,379,23 out of 23,2,"Hiranandani Regent Hill, Powai",2,2,Bachelors,2
1273,2,13000,582,5 out of 8,2,Lodha casa rio,2,2,Family,2
1274,2,95000,800,6 out of 8,2,"Pali Hill Apartment, Pali Hill",2,2,Bachelors/Family,2
1275,1,25000,444,7 out of 17,2,"Srishti Solitaire, Bhandup Industrial Estate",2,1,Bachelors/Family,2
1276,1,21000,428,12 out of 21,2,"Godrej Tranquil, Lokhandwala Twp",2,1,Bachelors/Family,1
1277,2,60000,888,5 out of 20,2,"Shapoorji Pallonji Vicinia, Chandivali",2,2,Bachelors/Family,2
1278,1,19000,490,Ground out of 8,1,Bhandup East,2,1,Bachelors/Family,1
1279,3,140000,937,28 out of 39,2,"Sheth Beaumonte, Sion Koliwada",2,1,Family,4
1280,2,30000,710,12 out of 21,2,"Gokul Gagan, Thakur Village, Kandivali East",2,1,Family,2
1281,4,130000,1617,15 out of 58,2,"Auris Serenity, Kanch Pada",2,2,Bachelors/Family,5
1282,2,80000,836,6 out of 23,2,"TATA Falcon Crest, Parel",2,1,Bachelors/Family,2
1283,2,85000,1200,36 out of 45,2,"Crescent Bay T3, Bhoiwada",2,2,Bachelors/Family,3
1284,2,65000,950,9 out of 28,2,"Vishnu Shivam Tower, Thakur Village, Kandivali East",2,2,Bachelors/Family,2
1285,1,33000,460,10 out of 25,2,"Conwood Astoria, Goregaon East",2,2,Bachelors/Family,2
1286,1,36000,585,10 out of 14,1,"Odyssey Bhakti Park, Bhakti Park",2,2,Bachelors/Family,2
1287,2,22000,550,2 out of 7,2,"Salasar Garden, Beverly Park",2,2,Family,2
1288,1,17000,375,9 out of 20,2,"Royal Palms Diamond Isle Phase II, Aarey Milk Colony",2,1,Bachelors/Family,1
1289,2,55000,700,10 out of 20,2,"Raj Legacy, Vikhroli West",2,2,Bachelors/Family,2
1290,2,66000,750,2 out of 8,2,"Sundar Nagar, Kalina",2,1,Family,2
1291,4,140000,2000,6 out of 45,2,"DB Woods, Gokuldham",2,2,Family,4
1292,4,260000,2046,22 out of 52,2,"Oberoi Esquire, Goregaon East",2,2,Bachelors/Family,5
1293,2,32000,750,3 out of 7,1,"Shree Sai Usha Complex, Bhandup West",2,2,Bachelors/Family,2
